building_id,timestamp_hour,volume,hot,cold,apartment_size,volume_per_room,hot_per_room,cold_per_room
1bbf041c-f23c-437e-9c9b-2bd43d310a7c,2019-01-01 12:00:00,3788.997477000001,2499.2032580000005,1289.7942124999997,121,1548.0160840833337,1021.0634494999999,526.9526314166666
1bbf041c-f23c-437e-9c9b-2bd43d310a7c,2019-01-01 13:00:00,1835.3974980000003,1463.8036879999995,371.59378879999997,121,749.8619004166667,598.04517525,151.81671788333327
1bbf041c-f23c-437e-9c9b-2bd43d310a7c,2019-01-01 14:00:00,912.8417099999999,437.12815140000004,475.71356209999993,121,372.94657966666676,178.59114821666677,194.35543335
1bbf041c-f23c-437e-9c9b-2bd43d310a7c,2019-01-01 15:00:00,5091.7644679999985,3223.051531,1868.7129830000001,121,2080.268820166667,1316.7957038333332,763.4731263333333
1bbf041c-f23c-437e-9c9b-2bd43d310a7c,2019-01-01 16:00:00,1227.527466,92.76747413999999,1134.7599709999997,121,501.51320375000023,37.900669815,463.61252633333356
1bbf041c-f23c-437e-9c9b-2bd43d310a7c,2019-01-01 17:00:00,169.72074539999997,13.212539055000002,156.50820740000003,121,69.34035871666664,5.3980566491666675,63.94230244999999
1bbf041c-f23c-437e-9c9b-2bd43d310a7c,2019-01-01 18:00:00,0.0,0.0,0.0,121,0.0,0.0,0.0
1bbf041c-f23c-437e-9c9b-2bd43d310a7c,2019-01-01 19:00:00,194.40546519999998,11.019328554,183.38613310000005,121,79.42543848333335,4.502008231500001,74.92342933333333
1bbf041c-f23c-437e-9c9b-2bd43d310a7c,2019-01-01 20:00:00,741.1808115000002,584.9833923000001,156.1974307,121,302.8135603333334,238.99823261666654,63.815332683333324
1bbf041c-f23c-437e-9c9b-2bd43d310a7c,2019-01-01 21:00:00,3305.7897000000003,2286.745999999999,1019.0437165000001,121,1350.5988530000002,934.262851,416.3360016666667
